task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ab/a8c26f	48025	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GUNZIP_GTF (Mus_musculus.GRCm38.81.gtf.gz)	COMPLETED	0	2025-09-29 14:52:23.327	9.1s	8.4s	56.0%	4.3 MB	7.2 MB	26.6 MB	827.5 MB
2	91/794c5e	48094	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GTF_TO_TABLE (Mus_musculus)	COMPLETED	0	2025-09-29 14:52:32.502	15.8s	15s	101.6%	652.7 MB	2.3 GB	1.7 GB	23.8 MB
3	c2/2c58a5	48511	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:VALIDATOR (SRP254919.samplesheet.csv)	COMPLETED	0	2025-09-29 14:52:48.797	17.9s	17s	111.8%	666.4 MB	2.3 GB	101.4 MB	9.6 MB
4	2f/2b96ab	48885	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:TABULAR_TO_GSEA_CHIP (1)	COMPLETED	0	2025-09-29 14:53:06.785	1.9s	0ms	93.3%	2.6 MB	11 MB	19.2 MB	10.9 MB
7	c3/279fc2	48938	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_sample_number)	COMPLETED	0	2025-09-29 14:53:08.730	779ms	53ms	117.1%	2.8 MB	3.9 MB	202.6 KB	18.1 KB
6	fb/83c4af	48990	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_)	COMPLETED	0	2025-09-29 14:53:09.520	734ms	48ms	139.1%	2.8 MB	3.9 MB	202.6 KB	18.1 KB
5	cf/6a4b23	49040	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_MATRIXFILTER ([id:SRP254919])	COMPLETED	0	2025-09-29 14:53:10.265	1.2s	1s	330.1%	3.2 MB	5.4 MB	5.9 MB	69.1 KB
9	64/9b5afa	49108	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_NORM ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	COMPLETED	0	2025-09-29 14:53:12.058	17.6s	17s	205.5%	754.9 MB	2.8 GB	38.8 MB	727.1 KB
8	7c/55393d	49480	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	COMPLETED	0	2025-09-29 14:53:29.674	16.2s	15s	155.3%	717.8 MB	2.5 GB	38.8 MB	727.1 KB
10	e8/934405	49857	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_sample_number, variable:treatment, reference:mCherry, target:hND6, blocking:sample_number])	COMPLETED	0	2025-09-29 14:53:45.858	15.2s	14s	167.1%	753.2 MB	2.5 GB	38.8 MB	767 KB
