task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b0/553a39	16364	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GUNZIP_GTF (Mus_musculus.GRCm38.81.gtf.gz)	COMPLETED	0	2025-09-29 11:19:11.395	22.4s	7.8s	62.5%	4.5 MB	7.2 MB	26.6 MB	827.5 MB
2	ab/fc50ed	16486	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GTF_TO_TABLE (Mus_musculus)	COMPLETED	0	2025-09-29 11:19:33.905	1m 24s	15s	102.2%	652.9 MB	2.3 GB	1.7 GB	23.8 MB
3	21/4f27a5	17036	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:VALIDATOR (SRP254919.samplesheet.csv)	COMPLETED	0	2025-09-29 11:20:58.344	1m 39s	16s	114.8%	664.9 MB	2.3 GB	101.4 MB	9.6 MB
4	c2/829d0b	17520	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:TABULAR_TO_GSEA_CHIP (1)	COMPLETED	0	2025-09-29 11:22:37.498	8.2s	0ms	84.3%	2.8 MB	11 MB	19.2 MB	10.9 MB
7	f3/7105f3	17600	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_sample_number)	COMPLETED	0	2025-09-29 11:22:45.721	819ms	54ms	112.9%	2.7 MB	3.9 MB	202.6 KB	18.1 KB
6	d0/df67c2	17654	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEACLS (treatment_mCherry_hND6_)	COMPLETED	0	2025-09-29 11:22:46.547	793ms	50ms	142.1%	2.8 MB	3.9 MB	202.5 KB	18.1 KB
5	48/0fb6ed	17709	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_MATRIXFILTER ([id:SRP254919])	COMPLETED	0	2025-09-29 11:22:47.351	58.3s	1s	362.5%	3.2 MB	5.4 MB	5.9 MB	69.1 KB
9	6d/cc3e37	17866	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	COMPLETED	0	2025-09-29 11:23:46.090	3m 30s	17s	202.6%	731.2 MB	2.7 GB	38.8 MB	727.1 KB
10	67/78b2ba	18484	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:treatment_mCherry_hND6_sample_number, variable:treatment, reference:mCherry, target:hND6, blocking:sample_number])	COMPLETED	0	2025-09-29 11:27:15.789	16.5s	16s	222.7%	743.9 MB	2.8 GB	38.8 MB	767 KB
8	97/dafb43	18875	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_NORM ([id:treatment_mCherry_hND6_, variable:treatment, reference:mCherry, target:hND6, blocking:])	COMPLETED	0	2025-09-29 11:27:32.310	16.7s	16s	159.8%	739.3 MB	2.7 GB	38.8 MB	727.1 KB
