task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	2f/d770c9	19256	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:FILTER_DIFFTABLE (1)	COMPLETED	0	2025-09-29 11:27:49.042	1m 16s	0ms	323.2%	7.6 MB	12.6 MB	13.3 MB	706 B
12	7e/053c09	19453	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:FILTER_DIFFTABLE (2)	COMPLETED	0	2025-09-29 11:29:04.896	1.2s	0ms	317.3%	7.7 MB	12.8 MB	13.3 MB	780 B
16	39/3388c9	19513	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (treatment_mCherry_hND6_sample_number)	COMPLETED	0	2025-09-29 11:29:06.144	16s	15s	114.5%	700.6 MB	2.4 GB	87.7 MB	42 KB
15	5e/e17fac	19883	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (treatment_mCherry_hND6_)	COMPLETED	0	2025-09-29 11:29:22.194	15.7s	15s	118.5%	662.5 MB	2.3 GB	87.7 MB	42.2 KB
13	38/1983b3	20289	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_TABULARTOGSEAGCT (treatment_mCherry_hND6_)	COMPLETED	0	2025-09-29 11:29:37.864	841ms	53ms	97.7%	2.7 MB	3.9 MB	609.5 KB	350.9 KB
17	68/bcb777	20352	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_EXPLORATORY (treatment)	COMPLETED	0	2025-09-29 11:29:38.716	19.1s	18s	113.7%	804.3 MB	2.6 GB	87.9 MB	222.1 KB
14	84/0d87f2	20742	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:SHINYNGS_APP (SRP254919)	COMPLETED	0	2025-09-29 11:29:57.806	15.4s	14s	118.6%	617.1 MB	2.2 GB	87.4 MB	162.5 KB
19	a5/7db32d	21152	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GSEA_GSEA (treatment_mCherry_hND6_)	COMPLETED	0	2025-09-29 11:30:13.220	1m 33s	5s	149.7%	153.9 MB	6.6 GB	26.6 MB	1 MB
18	d4/f32189	21387	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GSEA_GSEA (treatment_mCherry_hND6_sample_number)	COMPLETED	0	2025-09-29 11:31:46.059	6.8s	6s	143.9%	161 MB	6.7 GB	26.6 MB	1.1 MB
20	f2/1ed149	21470	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:RMARKDOWNNOTEBOOK (SRP254919)	COMPLETED	0	2025-09-29 11:31:52.985	32s	19s	96.5%	820.8 MB	1.3 GB	72.4 MB	7.9 MB
21	5a/3ceceb	21902	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:MAKE_REPORT_BUNDLE (SRP254919)	COMPLETED	0	2025-09-29 11:32:25.003	37.4s	2s	106.0%	48.6 MB	1.3 GB	10.1 MB	1.8 MB
